eventid,description,description_long
3041,Centralized Alerting - Virus found in Memory.,The scan on %COMPUTERNAME% found the systems memory infected with a virus.  %SOFTWARENAME% %SOFTWAREVERSION%
3042,Centralized Alerting - Infected boot record found.,The scan on %COMPUTERNAME% found an infected boot record.  %SOFTWARENAME% %SOFTWAREVERSION%
3043,Centralized Alerting - Scan found infected files.,The scan on %COMPUTERNAME% found infected files.  %SOFTWARENAME% %SOFTWAREVERSION%
3044,Centralized Alerting - Scan found and cleaned infected files.,The scan on %COMPUTERNAME% found and cleaned infected files.  %SOFTWARENAME% %SOFTWAREVERSION%
3045,Centralized Alerting - Error while accessing activity log file.,The scan on %COMPUTERNAME% reported an error accessing the activity log file.  %SOFTWARENAME% %SOFTWAREVERSION%
3046,Centralized Alerting - Scan reports memory allocation error.,The scan on %COMPUTERNAME% reported a memory allocation error.  %SOFTWARENAME% %SOFTWAREVERSION%
3048,Centralized Alerting - Media is write protected.,The scan on %COMPUTERNAME% could not access the media due to write protection.  %SOFTWARENAME% %SOFTWAREVERSION%
3049,Centralized Alerting - Specified media not found.,The scan on %COMPUTERNAME% could not find the specified media.  %SOFTWARENAME% %SOFTWAREVERSION%
3047,Centralized Alerting - Directory length access error.,The directory path name is too long.  The scan on %COMPUTERNAME% could not scan some items in the specified location.  %SOFTWARENAME% %SOFTWAREVERSION%
3050,Centralized Alerting - Specified scan item is invalid.,The scan on %COMPUTERNAME% found an invalid scan item.  %SOFTWARENAME% %SOFTWAREVERSION%
3051,Centralized Alerting - File I/O errors.,The scan on %COMPUTERNAME% reported a file I/O error.  %SOFTWARENAME% %SOFTWAREVERSION%
3052,Centralized Alerting - Disk I/O errors.,The scan on %COMPUTERNAME% reported a disk I/O error.  %SOFTWARENAME% %SOFTWAREVERSION%
3053,Centralized Alerting - Scan reports general system error.,The scan on %COMPUTERNAME% reported a general system error.  %SOFTWARENAME% %SOFTWAREVERSION%
3054,Centralized Alerting - Scan reported an internal application error.,The scan on %COMPUTERNAME% reported an internal application error.  %SOFTWARENAME% %SOFTWAREVERSION%
3055,Error stopping drivers,An Error occurred while stopping the drivers on %COMPUTERNAME%.  %SOFTWARENAME% %SOFTWAREVERSION%
4650,Detected Spam Email,Detected Spam Email
4651,Spam Email Scanning Statistics,Spam Email Scanning Statistics
4700,Failed to connect to CMA updater,Failed to connect to CMA updater
4701,Failed to connect to CMA scheduler,Failed to connect to CMA scheduler
4702,Failed to save schedule data into CMA,Failed to save schedule data into CMA
8000,Infected item found,Infected item found
8500,Banned item found,Banned item found
8501,Encrypted/Corrupted item found,Encrypted/Corrupted item found
8502,Item matched filtering criteria,Item matched filtering criteria
8503,Item matched spam criteria,Item matched spam criteria
12000,Rogue System Sensor started successfully,Rogue System Sensor started successfully
12001,Rogue System Sensor failed to start,Rogue System Sensor failed to start
12002,Rogue System Sensor stopped,Rogue System Sensor stopped
13001,The machine is compliant or non-compliant with rules,The machine is compliant or non-compliant with rules
13002,System Compliance Profiler rule violation,System Compliance Profiler rule violation
16000,Computers are non-compliant,The following computers are non-compliant based on Rule %AdditionalInformation%: %AffectedComputerNames%
16001,Reserved for future use,Reserved for future use
16002,Master Repository Update succeeded,Master Repository Update succeeded from source repository %SourceComputers% to master repository %AffectedComputerNames%.
16003,Master Repository Update failed,Master Repository Update failed from source repository %SourceComputers% to master repository %AffectedComputerNames% due to error: %AdditionalInformation%
16004,Distributed Repository Replication succeeded,Distributed Repository Replication succeeded from master repository %SourceComputers% to distributed repository %AffectedComputerNames%.
21281,"Unwanted program, encrypted, deleted","Unwanted program, encrypted, deleted"
21282,"Unwanted program, no cleaner, delete failed","Unwanted program, no cleaner, delete failed"
21283,"Unwanted program, heuristics, delete failed","Unwanted program, heuristics, delete failed"
21284,"unwanted program, clean error, delete failed","unwanted program, clean error, delete failed"
21285,"Unwanted program, encrypted, delete failed","Unwanted program, encrypted, delete failed"
21286,"Unwanted program, no cleaner, continued","Unwanted program, no cleaner, continued"
16005,Distributed Repository Replication failed,Distributed Repository Replication failed from master repository %SourceComputers% to distributed repository %AffectedComputerNames% due to error %AdditionalInformation%
16006,New Rogue System detected,New Rogue System detected: %AffectedComputerNames% %AffectedComputerIPs%
16007,Subnet has become unmonitored by Rogue System Sensor,Subnet has become unmonitored by Rogue System Sensor: %AffectedObjects%
16014,ePOAuditEvents table is full.  Auto Purge procedure is activated.,ePOAuditEvents table is full.  Auto Purge procedure is activated.
16015,Auto Purge procedure has completed successfully for epoAuditEvents table.,Auto Purge procedure has completed successfully for epoAuditEvents table.
16016,Purge procedure has failed to complete for epoAuditEvents table.,Purge procedure has failed to complete for epoAuditEvents table.
18000,Host intrusion detected and handled,Host intrusion detected and handled
18001,Network intrusion detected and handled,Network intrusion detected and handled
18002,Application blocked,Application blocked
18003,Failed Quarantine check,Failed Quarantine check
18999,The IPS Event table is full.  Further events will be ignored until events are archived.,The IPS Event table is full.  Further events will be ignored until events are archived.
21024,Unwanted program found.,Unwanted program found.
21025,Unwanted program successfully cleaned.,Unwanted program successfully cleaned.
21026,Unable to clean unwanted program.,Unable to clean unwanted program.
21027,Unwanted program deleted.,Unwanted program deleted.
21028,Unable to delete unwanted program.,Unable to delete unwanted program.
21031,Unwanted program access denied.,Unwanted program access denied.
21032,Unwanted program was moved to quarantine area.,Unwanted program was moved to quarantine area.
21033,Unable to move unwanted program to quarantine.,Unable to move unwanted program to quarantine.
21036,Unwanted program found in memory,Unwanted program found in memory
21054,Unwanted program deleted.,Unwanted program deleted.
21055,Unable to delete unwanted program.,Unable to delete unwanted program.
21056,Unwanted program moved to quarantine,Unwanted program moved to quarantine
21057,Unable to move unwanted program to quarantine.,Unable to move unwanted program to quarantine.
21270,Unwanted program quarantined-no cleaner,Unwanted program quarantined-no cleaner
21271,"Unwanted program quarantined, Heuristics","Unwanted program quarantined, Heuristics"
21272,"Unwanted program quarantined, can't clean","Unwanted program quarantined, can't clean"
21273,"Unwanted program quarantined, encrypted","Unwanted program quarantined, encrypted"
21274,Unwanted program not cleaned or quarantined,Unwanted program not cleaned or quarantined
21275,"Unwanted program, heuristics, quarantine failed","Unwanted program, heuristics, quarantine failed"
21276,"Unwanted program, clean error, quarantine failed","Unwanted program, clean error, quarantine failed"
21277,"Unwanted program, encrypted, quarantine failed","Unwanted program, encrypted, quarantine failed"
21278,"Unwanted program, no cleaner, deleted","Unwanted program, no cleaner, deleted"
21279,"Unwanted program, heuristics, no cleaner, deleted","Unwanted program, heuristics, no cleaner, deleted"
21280,"Unwanted program, clean error, deleted","Unwanted program, clean error, deleted"
21287,"Unwanted program, heuristics, continued","Unwanted program, heuristics, continued"
21288,"Unwanted program, clean error, continued","Unwanted program, clean error, continued"
21289,"Unwanted program, encrypted, continued","Unwanted program, encrypted, continued"
21290,"Unwanted program, no cleaner, denied access","Unwanted program, no cleaner, denied access"
21291,"Unwanted program, heuristics, denied access","Unwanted program, heuristics, denied access"
21292,"Unwanted program, clean error, denied access","Unwanted program, clean error, denied access"
21293,"Unwanted program, quarantine failed, deleted","Unwanted program, quarantine failed, deleted"
21294,"Unwanted program, quarantine failed, delete failed","Unwanted program, quarantine failed, delete failed"
21295,"Unwanted program, quarantine failed, continued","Unwanted program, quarantine failed, continued"
21296,"Unwanted program, quarantine failed, denied access","Unwanted program, quarantine failed, denied access"
21297,"Unwanted program, delete failed, quarantined","Unwanted program, delete failed, quarantined"
21298,"Unwanted program, delete failed, quarantine failed","Unwanted program, delete failed, quarantine failed"
21299,"Unwanted program, delete failed, continued","Unwanted program, delete failed, continued"
21300,"Unwanted program, delete failed, denied access","Unwanted program, delete failed, denied access"
21400,User-specified unwanted program found.,User-specified unwanted program found.
21401,"User-specified unwanted program, clean error, continued","User-specified unwanted program, clean error, continued"
21402,"User-specified unwanted program, clean error, quarantine failed","User-specified unwanted program, clean error, quarantine failed"
21403,"User-specified unwanted program, clean error, quarantined","User-specified unwanted program, clean error, quarantined"
21404,"User-specified unwanted program, clean error, delete failed","User-specified unwanted program, clean error, delete failed"
21405,"User-specified unwanted program, clean error, deleted","User-specified unwanted program, clean error, deleted"
21406,User-specified unwanted program was moved to quarantine area.,User-specified unwanted program was moved to quarantine area.
21407,"User-specified unwanted program, quarantine failed, delete failed","User-specified unwanted program, quarantine failed, delete failed"
21408,"User-specified unwanted program, quarantine failed, deleted","User-specified unwanted program, quarantine failed, deleted"
21409,"User-specified unwanted program, quarantine failed, continued","User-specified unwanted program, quarantine failed, continued"
21410,User-specified unwanted program deleted.,User-specified unwanted program deleted.
21411,"User-specified unwanted program, delete failed, quarantine failed","User-specified unwanted program, delete failed, quarantine failed"
21412,"User-specified unwanted program, delete failed, quarantined","User-specified unwanted program, delete failed, quarantined"
21413,"User-specified unwanted program, delete failed, continued","User-specified unwanted program, delete failed, continued"
16017,Import computers has task failed.,Import computers has task failed.
11001,Application blocked,Application blocked
16013,Active Directory Discovery task has removed computer entries.,Active Directory Discovery task has removed computer entries.
16009,Active Directory Discovery task failed.,Active Directory Discovery task failed.
16020,Import computers task has failed.,Import computers task has failed.
16022,NT Domain sync task has added computer entries.,NT Domain sync task has added computer entries.
16008,Active Directory Discovery task ran successfully.,Active Directory Discovery task ran successfully.
16012,Active Directory Discovery task has added computer entries.,Active Directory Discovery task has added computer entries.
16021,NT Domain sync task has succeeded.,NT Domain sync task has succeeded.
16024,NT Domain sync task has failed.,NT Domain sync task has failed.
16018,Import computers task has added computer entries.,Import computers task has added computer entries.
16019,Import computers task has removed computer entries.,Import computers task has removed computer entries.
16023,NT Domain sync task has removed computer entries.,NT Domain sync task has removed computer entries.
