Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10650117,1,"Sunday, February  3, 2013 23:57:44 UTC",63.1274,-147.0167,1.6,6.30,13,"Central Alaska"
ak,10650114,1,"Sunday, February  3, 2013 23:49:52 UTC",63.1238,-147.0149,1.8,5.60,20,"Central Alaska"
nc,71934626,0,"Sunday, February  3, 2013 23:14:38 UTC",38.8507,-122.8177,1.0,2.00,10,"Northern California"
nc,71934621,0,"Sunday, February  3, 2013 23:08:13 UTC",37.6362,-118.9577,1.1,8.00,14,"Long Valley area, California"
us,c000f0ps,7,"Sunday, February  3, 2013 23:04:18 UTC",29.3302,141.8019,5.1,48.80,267,"Izu Islands, Japan region"
nc,71934611,2,"Sunday, February  3, 2013 23:01:48 UTC",35.5317,-120.9468,1.1,3.80,25,"Central California"
us,c000f0pp,8,"Sunday, February  3, 2013 22:56:11 UTC",29.3124,142.0140,5.3,34.80,259,"Izu Islands, Japan region"
ci,15281089,0,"Sunday, February  3, 2013 22:49:49 UTC",33.8870,-116.8502,1.2,18.50,59,"Southern California"
ak,10650087,1,"Sunday, February  3, 2013 22:15:48 UTC",63.6533,-148.1102,1.3,81.10, 8,"Central Alaska"
ci,15281081,2,"Sunday, February  3, 2013 22:14:26 UTC",35.8050,-118.5040,2.7,4.50,62,"Central California"
ak,10650086,1,"Sunday, February  3, 2013 22:14:15 UTC",63.2582,-151.0996,1.6,12.60, 9,"Central Alaska"
uw,60504501,2,"Sunday, February  3, 2013 22:07:15 UTC",49.4730,-120.5192,2.4,0.00,13,"British Columbia, Canada"
ak,10650076,1,"Sunday, February  3, 2013 22:01:44 UTC",61.6729,-150.5438,3.1,59.80,56,"Southern Alaska"
ak,10650064,1,"Sunday, February  3, 2013 21:37:55 UTC",62.9931,-150.7086,3.5,166.90,12,"Central Alaska"
ak,10650062,1,"Sunday, February  3, 2013 21:12:40 UTC",63.2239,-152.0916,1.6,2.40, 5,"Central Alaska"
us,c000f0np,5,"Sunday, February  3, 2013 20:54:43 UTC",-32.3765,-71.5977,4.7,37.90,32,"offshore Valparaiso, Chile"
nc,71934561,0,"Sunday, February  3, 2013 20:51:51 UTC",38.5532,-119.6098,1.9,11.00, 8,"Northern California"
ak,10650060,2,"Sunday, February  3, 2013 20:30:44 UTC",67.7331,-167.1644,3.6,24.20,15,"Bering Strait"
ci,15281033,0,"Sunday, February  3, 2013 19:52:10 UTC",34.9437,-118.9438,1.8,18.70,27,"Central California"
ak,10650050,1,"Sunday, February  3, 2013 19:45:23 UTC",61.6494,-151.6890,2.2,113.70,26,"Southern Alaska"
ci,15281017,0,"Sunday, February  3, 2013 19:04:21 UTC",33.3800,-117.2402,1.5,0.10,12,"Southern California"
pr,13034002,0,"Sunday, February  3, 2013 18:59:54 UTC",18.5848,-65.5944,2.4,71.00, 4,"Puerto Rico region"
ci,15281009,0,"Sunday, February  3, 2013 18:55:57 UTC",32.6060,-115.6890,1.3,6.90,15,"Baja California, Mexico"
ci,15281001,0,"Sunday, February  3, 2013 18:45:53 UTC",33.2162,-116.0882,1.5,6.70,76,"Southern California"
ci,15280993,0,"Sunday, February  3, 2013 18:02:41 UTC",32.7917,-115.4628,1.4,6.30,12,"Southern California"
ak,10650151,2,"Sunday, February  3, 2013 17:51:46 UTC",53.7149,-165.9099,2.1,25.50,17,"Fox Islands, Aleutian Islands, Alaska"
us,c000f0mh,4,"Sunday, February  3, 2013 17:46:59 UTC",27.6917,56.4974,4.5,45.10,31,"southern Iran"
nc,71934481,2,"Sunday, February  3, 2013 17:29:03 UTC",36.6492,-121.2668,1.1,4.70,20,"Central California"
nc,71934486,4,"Sunday, February  3, 2013 17:27:16 UTC",39.4290,-122.6445,1.5,0.00,14,"Northern California"
ak,10650024,1,"Sunday, February  3, 2013 17:25:09 UTC",63.5676,-147.9421,2.4,16.80,31,"Central Alaska"
nc,71934471,1,"Sunday, February  3, 2013 17:03:27 UTC",37.3433,-121.7083,1.9,8.10,34,"Northern California"
nc,71934476,0,"Sunday, February  3, 2013 17:03:11 UTC",37.3425,-121.7042,1.5,8.80,16,"Northern California"
nc,71934461,3,"Sunday, February  3, 2013 16:51:46 UTC",37.3472,-121.7095,2.5,8.50,88,"Northern California"
nc,71934456,0,"Sunday, February  3, 2013 16:49:12 UTC",37.3477,-121.7130,1.8,7.40,18,"Northern California"
ak,10650011,1,"Sunday, February  3, 2013 16:29:41 UTC",62.0518,-150.5850,1.6,40.30, 7,"Central Alaska"
ak,10650008,1,"Sunday, February  3, 2013 16:20:32 UTC",61.4398,-146.6733,1.7,19.60, 9,"Southern Alaska"
ak,10649999,1,"Sunday, February  3, 2013 16:01:21 UTC",62.0952,-145.3220,1.8,19.40,10,"Central Alaska"
ci,15280977,0,"Sunday, February  3, 2013 16:01:13 UTC",33.3313,-116.6242,1.5,11.80,24,"Southern California"
ci,15280969,1,"Sunday, February  3, 2013 15:59:09 UTC",33.3380,-116.3312,1.4,13.60,75,"Southern California"
nc,71934396,2,"Sunday, February  3, 2013 14:47:37 UTC",40.4545,-121.5083,1.0,4.80, 8,"Lassen Peak area, California"
nc,71934391,2,"Sunday, February  3, 2013 14:46:29 UTC",40.4537,-121.5080,1.2,4.60, 8,"Lassen Peak area, California"
us,2013lear,3,"Sunday, February  3, 2013 14:23:06 UTC",-11.0344,165.4204,4.6,46.10,18,"Santa Cruz Islands"
nc,71934381,3,"Sunday, February  3, 2013 14:20:23 UTC",38.7642,-122.7415,1.9,2.40,64,"Northern California"
ci,15280961,0,"Sunday, February  3, 2013 14:18:03 UTC",35.8367,-117.6810,2.2,1.00,46,"Central California"
ak,10649991,1,"Sunday, February  3, 2013 14:17:24 UTC",59.8069,-152.0038,2.0,12.30,10,"Southern Alaska"
nc,71934371,0,"Sunday, February  3, 2013 14:16:06 UTC",38.8377,-122.7840,1.2,1.70,14,"Northern California"
nc,71934356,0,"Sunday, February  3, 2013 14:00:56 UTC",38.8142,-122.8175,1.1,2.70,24,"Northern California"
ak,10649984,1,"Sunday, February  3, 2013 13:44:18 UTC",63.4616,-148.8843,1.3,9.50, 7,"Central Alaska"
nc,71934341,1,"Sunday, February  3, 2013 13:23:12 UTC",38.7858,-122.7625,1.7,1.30,29,"Northern California"
hv,60462791,2,"Sunday, February  3, 2013 13:09:14 UTC",19.3258,-155.1475,2.1,6.70,27,"Island of Hawaii, Hawaii"
ak,10649973,1,"Sunday, February  3, 2013 12:51:35 UTC",61.9816,-149.1089,1.6,50.80,13,"Southern Alaska"
ci,15280921,0,"Sunday, February  3, 2013 11:57:23 UTC",36.1600,-117.6717,2.1,6.60,12,"Central California"
hv,60462721,2,"Sunday, February  3, 2013 11:56:36 UTC",19.3557,-155.1968,1.9,2.50,19,"Island of Hawaii, Hawaii"
ak,10649959,1,"Sunday, February  3, 2013 11:40:23 UTC",61.8288,-151.6622,2.3,83.00,27,"Southern Alaska"
us,c000f0ku,5,"Sunday, February  3, 2013 11:36:39 UTC",-5.0038,153.2180,5.0,10.00,64,"New Ireland region, Papua New Guinea"
ak,10649957,1,"Sunday, February  3, 2013 11:31:00 UTC",63.4685,-148.2664,1.4,20.10, 6,"Central Alaska"
ak,10649950,1,"Sunday, February  3, 2013 11:15:16 UTC",63.1080,-149.1024,1.3,14.90, 9,"Central Alaska"
us,c000f0kj,A,"Sunday, February  3, 2013 11:14:56 UTC",-5.0741,153.0690,5.4,23.20,193,"New Ireland region, Papua New Guinea"
us,c000f0kd,5,"Sunday, February  3, 2013 11:10:31 UTC",36.4962,70.7940,4.0,177.70,39,"Hindu Kush region, Afghanistan"
us,c000f0ke,6,"Sunday, February  3, 2013 11:08:10 UTC",-5.0725,153.1490,4.8,11.50,52,"New Ireland region, Papua New Guinea"
ci,15280905,0,"Sunday, February  3, 2013 10:41:18 UTC",32.2810,-116.5622,2.0,5.10,37,"Baja California, Mexico"
us,c000f0k9,8,"Sunday, February  3, 2013 10:22:40 UTC",-10.5488,166.5661,4.7,35.50,104,"Santa Cruz Islands"
pr,13034001,0,"Sunday, February  3, 2013 10:15:15 UTC",18.3824,-64.6484,2.4,5.00, 5,"Virgin Islands region"
us,c000f0k5,8,"Sunday, February  3, 2013 10:12:07 UTC",-5.4343,154.2528,4.6,138.80,103,"Bougainville region, Papua New Guinea"
hv,60462591,1,"Sunday, February  3, 2013 09:51:29 UTC",19.4103,-155.2807,1.7,1.80,16,"Island of Hawaii, Hawaii"
uu,60012232,3,"Sunday, February  3, 2013 09:44:17 UTC",44.6852,-110.4103,1.1,4.80, 6,"Yellowstone National Park, Wyoming"
nc,71934301,1,"Sunday, February  3, 2013 08:31:32 UTC",36.7733,-121.2800,1.9,7.90,31,"Central California"
nc,71934296,0,"Sunday, February  3, 2013 08:29:14 UTC",36.8818,-120.8913,1.9,1.10,13,"Central California"
nc,71934291,2,"Sunday, February  3, 2013 08:22:09 UTC",36.5793,-121.1210,1.2,12.00,24,"Central California"
ak,10649938,1,"Sunday, February  3, 2013 08:05:40 UTC",59.9577,-153.0315,1.7,8.40, 7,"Southern Alaska"
nc,71934286,0,"Sunday, February  3, 2013 08:04:59 UTC",39.7273,-120.5580,1.7,4.20, 8,"Northern California"
nc,71934281,3,"Sunday, February  3, 2013 08:03:33 UTC",39.7193,-120.5653,2.3,6.30,33,"Northern California"
ak,10649927,1,"Sunday, February  3, 2013 07:51:29 UTC",62.9473,-150.7181,2.9,125.40,55,"Central Alaska"
nn,00401667,9,"Sunday, February  3, 2013 07:25:21 UTC",38.4000,-118.7392,1.0,0.00, 5,"Nevada"
ak,10649916,1,"Sunday, February  3, 2013 07:13:33 UTC",61.0513,-150.8920,2.6,49.80,42,"Southern Alaska"
ak,10649913,1,"Sunday, February  3, 2013 07:05:09 UTC",62.0142,-149.7872,1.6,40.40, 7,"Central Alaska"
ci,15280889,0,"Sunday, February  3, 2013 07:03:40 UTC",35.8368,-117.6848,1.1,2.20,26,"Central California"
ak,10649908,1,"Sunday, February  3, 2013 06:52:13 UTC",63.4987,-146.5215,1.5,9.70,14,"Central Alaska"
ak,10649904,1,"Sunday, February  3, 2013 06:44:14 UTC",63.0510,-151.6151,1.7,11.50, 9,"Central Alaska"
us,c000f0fi,7,"Sunday, February  3, 2013 06:20:51 UTC",-6.5806,130.1281,4.6,150.80,33,"Banda Sea"
ci,15280881,1,"Sunday, February  3, 2013 05:54:03 UTC",33.7158,-116.7610,1.2,19.70,64,"Southern California"
ci,15280873,0,"Sunday, February  3, 2013 05:39:49 UTC",34.0367,-116.3183,1.0,8.00,29,"Southern California"
nc,71934266,0,"Sunday, February  3, 2013 05:32:00 UTC",38.8088,-122.8255,1.0,2.50,21,"Northern California"
hv,60462516,2,"Sunday, February  3, 2013 05:22:47 UTC",19.4692,-155.6018,2.2,0.80, 8,"Island of Hawaii, Hawaii"
us,c000f0es,4,"Sunday, February  3, 2013 05:22:12 UTC",-35.6005,-72.7669,4.4,37.00,21,"offshore Maule, Chile"
ci,15280865,0,"Sunday, February  3, 2013 05:22:08 UTC",34.2577,-116.4332,1.9,0.10,68,"Southern California"
ci,15280857,0,"Sunday, February  3, 2013 05:20:35 UTC",34.2515,-116.4372,1.4,0.00,36,"Southern California"
uw,60504436,2,"Sunday, February  3, 2013 05:14:19 UTC",47.7163,-122.1732,1.1,1.50,24,"Seattle-Tacoma urban area, Washington"
ak,10649868,2,"Sunday, February  3, 2013 05:13:41 UTC",62.8642,-150.7072,3.9,93.80,77,"Central Alaska"
us,c000f0cw,5,"Sunday, February  3, 2013 05:01:07 UTC",64.9516,-122.9657,4.0,10.00,54,"Northwest Territories, Canada"
nc,71934256,0,"Sunday, February  3, 2013 04:59:13 UTC",38.8077,-122.8243,1.0,2.40,19,"Northern California"
ci,15280849,0,"Sunday, February  3, 2013 04:45:45 UTC",35.5657,-118.5230,1.4,0.60,17,"Central California"
nc,71934241,0,"Sunday, February  3, 2013 04:39:52 UTC",38.8062,-122.8113,1.3,2.30,22,"Northern California"
ci,15280833,0,"Sunday, February  3, 2013 04:25:58 UTC",35.5638,-118.5283,1.6,1.10,37,"Central California"
ci,15280825,0,"Sunday, February  3, 2013 04:24:56 UTC",34.9387,-117.6872,1.6,0.10, 8,"Southern California"
uw,60504421,1,"Sunday, February  3, 2013 04:17:23 UTC",41.6872,-125.0057,2.0,5.00, 9,"offshore Northern California"
nc,71934206,0,"Sunday, February  3, 2013 04:11:28 UTC",38.8167,-122.8072,1.2,3.70,23,"Northern California"
ak,10649840,1,"Sunday, February  3, 2013 03:59:44 UTC",63.4650,-150.8402,1.4,15.40, 6,"Central Alaska"
nc,71934201,4,"Sunday, February  3, 2013 03:59:36 UTC",40.4065,-124.3250,2.2,23.90,23,"Northern California"
us,c000f0ch,7,"Sunday, February  3, 2013 03:57:32 UTC",-10.8758,165.3571,5.1,10.00,58,"Santa Cruz Islands"
ak,10649834,1,"Sunday, February  3, 2013 03:51:04 UTC",63.0493,-149.5590,1.2,40.00, 7,"Central Alaska"
nc,71934181,2,"Sunday, February  3, 2013 03:33:50 UTC",38.6758,-122.8940,1.1,6.60,21,"Northern California"
ak,10649823,2,"Sunday, February  3, 2013 03:27:36 UTC",63.0802,-151.5871,3.3,8.90,30,"Central Alaska"
ak,10649822,1,"Sunday, February  3, 2013 03:26:48 UTC",63.5556,-150.8525,1.3,7.30, 7,"Central Alaska"
us,c000f0bw,8,"Sunday, February  3, 2013 03:20:29 UTC",-29.7239,-178.8898,4.7,197.50,56,"Kermadec Islands, New Zealand"
ci,15280817,0,"Sunday, February  3, 2013 03:10:04 UTC",34.2882,-117.5577,1.9,10.60,87,"Southern California"
us,c000f0bs,6,"Sunday, February  3, 2013 03:08:23 UTC",-21.4337,-178.7097,4.6,578.20,61,"Fiji region"
ak,10649819,1,"Sunday, February  3, 2013 03:04:12 UTC",62.2006,-149.2609,1.3,17.30, 8,"Central Alaska"
ci,15280801,0,"Sunday, February  3, 2013 02:57:43 UTC",36.1453,-117.9305,1.4,1.40,21,"Central California"
ci,15280793,0,"Sunday, February  3, 2013 02:56:24 UTC",34.2875,-117.5555,1.4,11.10,40,"Southern California"
ci,15280785,0,"Sunday, February  3, 2013 02:55:43 UTC",34.2890,-117.5522,1.5,11.00,41,"Southern California"
ci,15280769,0,"Sunday, February  3, 2013 02:53:11 UTC",33.6187,-116.7013,1.7,21.60,48,"Southern California"
ci,15280761,0,"Sunday, February  3, 2013 02:53:03 UTC",33.7230,-116.7712,1.8,31.00,68,"Southern California"
us,c000f0bj,6,"Sunday, February  3, 2013 02:29:13 UTC",-10.9632,165.3327,5.1,9.90,38,"Santa Cruz Islands"
us,c000f0bf,3,"Sunday, February  3, 2013 02:00:57 UTC",17.2567,147.2107,4.8,69.50,27,"Mariana Islands region"
ak,10649796,1,"Sunday, February  3, 2013 01:57:20 UTC",62.0870,-148.1612,2.7,10.90,49,"Central Alaska"
ci,15280753,0,"Sunday, February  3, 2013 01:55:57 UTC",33.5873,-116.8038,1.2,9.80,20,"Southern California"
pr,13034000,0,"Sunday, February  3, 2013 01:51:59 UTC",18.4696,-67.5585,2.7,81.00, 4,"Mona Passage, Puerto Rico"
ak,10649793,1,"Sunday, February  3, 2013 01:36:02 UTC",62.1828,-149.4835,1.4,15.70,10,"Central Alaska"
nc,71934156,3,"Sunday, February  3, 2013 01:27:10 UTC",40.2613,-124.9290,2.2,0.10,17,"offshore Northern California"
mb,13240729,2,"Sunday, February  3, 2013 00:51:15 UTC",45.6936,-112.1303,2.2,7.60,41,"western Montana"
nc,71934126,1,"Sunday, February  3, 2013 00:39:04 UTC",37.4685,-118.8450,1.5,8.60,24,"Central California"
nn,00401644,9,"Sunday, February  3, 2013 00:02:22 UTC",38.4955,-118.3754,1.4,7.80,19,"Nevada"
ak,10649776,1,"Saturday, February  2, 2013 23:39:09 UTC",66.0138,-148.3168,1.9,0.20,13,"northern Alaska"
ci,15280745,0,"Saturday, February  2, 2013 23:28:22 UTC",36.2300,-118.3242,1.6,4.70,19,"Central California"
nc,71934101,0,"Saturday, February  2, 2013 23:28:17 UTC",38.8323,-122.8108,1.1,2.50,21,"Northern California"
nc,71934091,0,"Saturday, February  2, 2013 23:14:55 UTC",37.5060,-118.8747,1.4,6.00,20,"Central California"
ci,15280721,0,"Saturday, February  2, 2013 23:02:55 UTC",34.2615,-116.4338,1.4,1.70,28,"Southern California"
nc,71934086,0,"Saturday, February  2, 2013 22:55:24 UTC",39.8537,-120.4927,1.7,10.50,11,"Northern California"
us,c000f0a0,4,"Saturday, February  2, 2013 22:36:01 UTC",-10.7100,166.5497,4.6,10.30,61,"Santa Cruz Islands"
us,c000f09b,5,"Saturday, February  2, 2013 22:31:58 UTC",-11.3221,165.1132,4.7,10.00,21,"Santa Cruz Islands"
ci,15280697,0,"Saturday, February  2, 2013 22:18:58 UTC",33.3758,-117.3288,1.1,5.40,12,"Southern California"
hv,60462376,2,"Saturday, February  2, 2013 22:17:56 UTC",19.4285,-155.4695,2.3,6.80,40,"Island of Hawaii, Hawaii"
ci,15280689,0,"Saturday, February  2, 2013 21:38:46 UTC",32.1080,-115.5662,2.2,24.80,12,"Baja California, Mexico"
us,c000f07p,6,"Saturday, February  2, 2013 21:20:35 UTC",-11.1323,165.3223,5.1,10.00,144,"Santa Cruz Islands"
uw,60504356,1,"Saturday, February  2, 2013 21:17:57 UTC",48.0268,-122.7535,1.0,16.40,10,"Puget Sound region, Washington"
nc,71934036,1,"Saturday, February  2, 2013 21:12:44 UTC",38.8218,-122.8252,1.6,2.40,25,"Northern California"
ak,10649514,1,"Saturday, February  2, 2013 21:11:05 UTC",63.5677,-147.5232,1.7,0.40,18,"Central Alaska"
us,c000f07a,6,"Saturday, February  2, 2013 21:00:23 UTC",-61.3223,154.1036,4.8,10.00,39,"Balleny Islands region"
nc,71934026,1,"Saturday, February  2, 2013 21:00:19 UTC",38.8175,-122.8138,1.1,3.30,25,"Northern California"
nc,71934021,0,"Saturday, February  2, 2013 20:49:31 UTC",38.8738,-122.8082,1.0,1.20,15,"Northern California"
us,c000f078,6,"Saturday, February  2, 2013 20:46:30 UTC",-10.3659,166.4568,4.8,10.40,84,"Santa Cruz Islands"
ci,15280681,0,"Saturday, February  2, 2013 20:46:03 UTC",32.9233,-116.2942,1.1,9.10,20,"Southern California"
ak,10649507,1,"Saturday, February  2, 2013 20:45:40 UTC",64.5180,-146.2734,1.4,8.20, 8,"Central Alaska"
ci,15280673,0,"Saturday, February  2, 2013 20:41:12 UTC",35.8352,-117.6842,1.4,1.70,39,"Central California"
us,c000f06q,8,"Saturday, February  2, 2013 20:16:07 UTC",-31.1283,-71.3749,4.6,48.60,34,"Coquimbo, Chile"
ak,10649501,1,"Saturday, February  2, 2013 20:08:20 UTC",60.9225,-146.9076,1.6,20.70,12,"Southern Alaska"
ci,15280665,0,"Saturday, February  2, 2013 19:59:51 UTC",33.7518,-117.5328,1.4,22.50,17,"Greater Los Angeles area, California"
ci,15280657,0,"Saturday, February  2, 2013 19:57:21 UTC",35.8372,-117.6843,1.3,1.70,29,"Central California"
nc,71933996,0,"Saturday, February  2, 2013 19:27:28 UTC",38.8192,-122.8022,1.0,4.10,18,"Northern California"
us,c000f06g,3,"Saturday, February  2, 2013 19:24:34 UTC",-11.2194,165.2014,5.1,29.50,77,"Santa Cruz Islands"
ci,15280649,0,"Saturday, February  2, 2013 19:15:05 UTC",33.4192,-116.3332,1.4,13.50,20,"Southern California"
ci,15280641,0,"Saturday, February  2, 2013 19:11:16 UTC",36.3333,-118.0087,1.6,0.00,15,"Central California"
us,c000f05y,B,"Saturday, February  2, 2013 18:58:06 UTC",-10.9218,165.2461,6.0,7.50,315,"Santa Cruz Islands"
us,c000f05u,A,"Saturday, February  2, 2013 18:54:31 UTC",-10.9703,165.3326,5.2,31.10,113,"Santa Cruz Islands"
nc,71933986,0,"Saturday, February  2, 2013 18:50:13 UTC",38.7747,-122.7395,1.0,1.50,19,"Northern California"
ci,15280625,0,"Saturday, February  2, 2013 18:34:23 UTC",34.2613,-116.4348,1.6,0.40,37,"Southern California"
us,c000f056,A,"Saturday, February  2, 2013 18:31:38 UTC",29.4141,141.9384,5.5,50.80,190,"Izu Islands, Japan region"
ak,10649472,1,"Saturday, February  2, 2013 18:22:19 UTC",60.2249,-150.0107,1.7,32.50, 4,"Kenai Peninsula, Alaska"
ci,15280617,0,"Saturday, February  2, 2013 18:18:51 UTC",33.0465,-116.4438,2.0,7.10,90,"Southern California"
pr,13033003,0,"Saturday, February  2, 2013 18:16:51 UTC",19.8878,-67.5970,3.1,56.00,10,"Puerto Rico region"
uw,60504321,1,"Saturday, February  2, 2013 18:10:41 UTC",49.4745,-120.5228,2.4,0.00,11,"British Columbia, Canada"
ak,10649463,1,"Saturday, February  2, 2013 17:56:08 UTC",63.5505,-150.6741,2.2,4.60, 8,"Central Alaska"
ci,15280601,0,"Saturday, February  2, 2013 17:41:03 UTC",33.9412,-116.0932,1.7,31.40,24,"Southern California"
ci,15280593,0,"Saturday, February  2, 2013 17:36:05 UTC",33.3253,-116.3025,1.3,12.20,65,"Southern California"
nn,00401617,9,"Saturday, February  2, 2013 17:25:43 UTC",38.4146,-117.8554,1.5,3.60,15,"Nevada"
ci,15280585,0,"Saturday, February  2, 2013 17:20:39 UTC",33.2773,-116.7812,1.2,12.50,65,"Southern California"
nc,71933971,1,"Saturday, February  2, 2013 17:07:53 UTC",37.7570,-122.5627,2.0,12.00,37,"offshore Northern California"
nc,71933966,1,"Saturday, February  2, 2013 17:07:23 UTC",37.7567,-122.5652,1.8,12.50,29,"offshore Northern California"
ci,15280561,0,"Saturday, February  2, 2013 16:48:03 UTC",33.4755,-116.7632,1.0,6.00,42,"Southern California"
ak,10649444,1,"Saturday, February  2, 2013 16:34:14 UTC",61.3786,-147.1915,1.8,20.60, 7,"Southern Alaska"
ci,15280545,1,"Saturday, February  2, 2013 16:11:06 UTC",33.7000,-116.8110,1.3,18.30,61,"Southern California"
nc,71933941,5,"Saturday, February  2, 2013 15:10:46 UTC",39.9755,-122.8977,1.4,10.20,15,"Northern California"
ci,15280529,0,"Saturday, February  2, 2013 15:01:42 UTC",36.0240,-117.7802,1.4,2.40,13,"Central California"
us,c000f03a,7,"Saturday, February  2, 2013 14:17:34 UTC",42.8116,143.0784,6.9,103.10,583,"Hokkaido, Japan region"
us,c000f02n,9,"Saturday, February  2, 2013 13:35:35 UTC",46.5089,14.6419,4.5,10.00,70,"Austria"
pr,13033002,0,"Saturday, February  2, 2013 13:29:13 UTC",18.5221,-63.9562,2.6,26.00, 6,"Virgin Islands region"
ak,10649412,1,"Saturday, February  2, 2013 13:19:53 UTC",63.3026,-151.2730,1.2,3.70, 7,"Central Alaska"
ci,15280513,0,"Saturday, February  2, 2013 13:18:23 UTC",35.8118,-118.5027,2.1,3.10,51,"Central California"
nc,71933926,0,"Saturday, February  2, 2013 13:16:26 UTC",38.8395,-122.7733,1.0,2.00, 8,"Northern California"
ak,10649409,1,"Saturday, February  2, 2013 13:15:58 UTC",60.0949,-153.0860,2.6,113.70, 9,"Southern Alaska"
ak,10649400,2,"Saturday, February  2, 2013 13:03:50 UTC",63.5451,-149.0137,2.2,4.60,23,"Central Alaska"
ak,10649397,1,"Saturday, February  2, 2013 12:52:25 UTC",62.0784,-145.1661,1.7,22.50, 7,"Central Alaska"
ci,15280505,0,"Saturday, February  2, 2013 12:50:49 UTC",33.6887,-116.7928,1.2,19.50,59,"Southern California"
nc,71933906,3,"Saturday, February  2, 2013 12:41:19 UTC",39.0535,-123.1292,1.3,3.50,15,"Northern California"
nc,71933896,1,"Saturday, February  2, 2013 12:39:27 UTC",38.8095,-122.8145,1.5,3.20,24,"Northern California"
nc,71933891,0,"Saturday, February  2, 2013 12:33:18 UTC",38.7770,-122.7243,1.0,2.50,19,"Northern California"
ak,10649391,1,"Saturday, February  2, 2013 12:27:49 UTC",59.9634,-153.0025,1.5,5.30, 4,"Southern Alaska"
nc,71933886,2,"Saturday, February  2, 2013 12:08:51 UTC",38.4977,-122.6437,1.2,8.80,18,"Northern California"
ak,10649386,1,"Saturday, February  2, 2013 12:03:25 UTC",63.3774,-150.5200,1.6,3.40,12,"Central Alaska"
ak,10649383,1,"Saturday, February  2, 2013 12:02:24 UTC",62.6010,-150.9170,1.6,70.00,11,"Central Alaska"
nc,71933876,3,"Saturday, February  2, 2013 12:00:12 UTC",36.4553,-120.4745,2.8,16.80,131,"Central California"
us,c000f01s,6,"Saturday, February  2, 2013 11:54:04 UTC",-9.7285,112.9597,4.5,35.10,36,"south of Java, Indonesia"
us,c000f01m,8,"Saturday, February  2, 2013 11:33:53 UTC",34.2611,24.9827,4.8,9.40,129,"Crete, Greece"
ci,15280481,0,"Saturday, February  2, 2013 11:26:51 UTC",36.0288,-117.7775,1.7,2.70,10,"Central California"
ak,10649379,1,"Saturday, February  2, 2013 11:25:29 UTC",59.9595,-153.0075,1.1,5.60, 4,"Southern Alaska"
nc,71933861,0,"Saturday, February  2, 2013 11:12:35 UTC",37.3915,-118.9018,1.2,3.40,10,"Central California"
ci,15280473,0,"Saturday, February  2, 2013 11:01:14 UTC",33.7007,-116.7182,1.3,19.70,84,"Southern California"
ci,15280465,0,"Saturday, February  2, 2013 10:57:55 UTC",33.2753,-116.7828,1.0,15.80,61,"Southern California"
nc,71933851,5,"Saturday, February  2, 2013 10:50:04 UTC",36.4673,-120.4888,2.9,12.40,174,"Central California"
nc,71933846,0,"Saturday, February  2, 2013 10:44:45 UTC",38.8533,-122.8243,1.2,2.20,20,"Northern California"
nc,71933831,5,"Saturday, February  2, 2013 10:43:36 UTC",38.7805,-122.7197,2.0,2.30,75,"Northern California"
ci,15280441,0,"Saturday, February  2, 2013 10:33:29 UTC",35.8078,-118.4875,1.6,0.60,19,"Central California"
nc,71933811,0,"Saturday, February  2, 2013 10:11:12 UTC",38.8573,-122.8195,1.1,1.70,12,"Northern California"
ak,10649353,1,"Saturday, February  2, 2013 10:03:45 UTC",62.4530,-152.1493,2.0,0.20,14,"Central Alaska"
ci,15280433,0,"Saturday, February  2, 2013 09:26:49 UTC",32.4172,-115.6175,2.1,5.80,14,"Baja California, Mexico"
ci,15280425,0,"Saturday, February  2, 2013 09:01:19 UTC",33.4598,-116.4553,1.6,8.80,95,"Southern California"
nc,71933761,3,"Saturday, February  2, 2013 08:38:08 UTC",35.6590,-121.0967,1.7,5.80,61,"Central California"
nm,020413a,A,"Saturday, February  2, 2013 08:30:09 UTC",36.3914,-89.4905,1.4,4.60,22,"Tennessee"
ak,10649335,1,"Saturday, February  2, 2013 07:49:36 UTC",64.8377,-147.3964,1.0,11.30, 8,"Central Alaska"
ak,10649329,1,"Saturday, February  2, 2013 07:48:04 UTC",64.8519,-147.3589,1.2,14.40, 8,"Central Alaska"
uw,60504271,2,"Saturday, February  2, 2013 07:45:16 UTC",47.8710,-121.6552,1.0,12.20,14,"Washington"
ak,10649321,1,"Saturday, February  2, 2013 07:34:38 UTC",63.0253,-148.8871,1.8,99.80, 7,"Central Alaska"
nc,71933731,1,"Saturday, February  2, 2013 07:27:56 UTC",38.8175,-122.8038,1.6,3.80,38,"Northern California"
nc,71933721,3,"Saturday, February  2, 2013 07:26:48 UTC",38.8183,-122.8065,2.0,3.50,72,"Northern California"
us,c000f005,4,"Saturday, February  2, 2013 07:21:20 UTC",-6.5494,130.0167,4.5,145.00,52,"Banda Sea"
nc,71933711,2,"Saturday, February  2, 2013 07:18:16 UTC",37.1990,-118.1757,1.5,6.90,18,"Central California"
ci,15280409,0,"Saturday, February  2, 2013 07:03:02 UTC",33.2342,-116.0110,1.4,5.80,12,"Southern California"
ci,15280393,0,"Saturday, February  2, 2013 06:53:42 UTC",33.6287,-117.0852,1.1,4.30,27,"Southern California"
